,Class
15786,0
223050,0
45032,0
286,0
136834,0
271965,0
236820,0
797,0
30763,0
145827,0
138298,0
35056,0
161120,0
195744,0
205792,0
47771,0
94659,0
184607,0
273587,0
209872,0
205466,0
46192,0
204677,0
25341,0
83832,0
238626,0
249566,0
140386,0
124399,0
114539,0
37298,0
166202,0
181199,0
234735,0
172389,0
27900,0
263024,0
94622,0
146410,0
240203,0
109820,0
56197,0
151179,0
41693,0
214009,0
155338,0
135917,0
30679,0
42939,0
153846,0
267600,0
90731,0
198814,0
232811,0
228064,0
272748,0
275196,0
190442,0
149466,0
6582,0
272241,0
41824,0
123473,0
233305,0
16707,0
245354,0
183064,0
245116,0
58514,0
189074,0
216756,0
116745,0
177231,0
247603,0
33763,0
166819,0
58592,0
4066,0
156207,0
88511,0
28591,0
772,0
192783,0
45276,0
200270,0
23104,0
231900,0
40230,0
210785,0
279374,0
167193,0
69558,0
82098,0
80955,0
80213,0
279288,0
108525,0
190788,0
204085,0
227236,0
129644,0
36114,0
160781,0
102103,0
125976,0
124294,0
131092,0
115980,0
214421,0
81057,0
148206,0
13905,0
137262,0
14874,0
172250,0
130116,0
159338,0
59310,0
247488,0
229544,0
48804,0
233390,0
206890,0
246127,0
86692,0
130778,0
95356,0
99707,0
72321,0
169186,0
269660,0
34241,0
132434,0
55428,0
213582,0
163190,0
48588,0
276988,0
17664,0
89034,0
100743,0
189671,0
107703,0
233958,0
119175,0
135874,0
75940,0
191464,0
116333,0
197315,0
189067,0
144206,0
127120,0
7137,0
63139,0
52108,0
208819,0
10324,0
100383,0
38125,0
263164,0
211973,0
94227,0
30354,0
81536,0
206100,0
136437,0
260439,0
182374,0
149042,0
179015,0
217826,0
39020,0
151204,0
222103,0
76696,0
271408,0
123287,0
207947,0
38842,0
189859,0
172393,0
132425,0
35800,0
223994,0
198192,0
141970,0
246906,0
137517,0
90026,0
67088,0
44025,0
51761,0
280712,0
252189,0
165178,0
55758,0
227277,0
239789,0
256563,0
281099,0
146026,0
248808,0
268663,0
92049,0
233813,0
167841,0
197510,0
167386,0
79576,0
41468,0
197880,0
182928,0
83811,0
75031,0
256723,0
44336,0
22895,0
23340,0
19764,0
11233,0
259826,0
32342,0
221327,0
276068,0
160091,0
177433,0
23002,0
148143,0
188810,0
276242,0
82603,0
204253,0
161241,0
106281,0
245303,0
27433,0
36802,0
153989,0
33218,0
194779,0
223259,0
71731,0
202977,0
219454,0
49984,0
49482,0
101145,0
282943,0
282236,0
44794,0
46291,0
241341,0
176283,0
8259,0
82941,0
132660,0
128371,0
178123,0
20383,0
58982,0
168768,0
4754,0
36583,0
223310,0
239059,0
240662,0
77589,0
173543,0
211506,0
192090,0
19031,0
131577,0
71209,0
84796,0
119732,0
235351,0
180401,0
140775,0
163799,0
4086,0
238079,0
62459,0
234637,0
264325,0
206021,0
205852,0
124515,0
29484,0
82385,0
75740,0
107279,0
276447,0
131165,0
169855,0
73766,0
59196,0
215857,0
80526,0
12766,0
51489,0
141896,0
15478,0
183151,0
227609,0
167827,0
130595,0
110032,0
131879,0
163229,0
248086,0
7845,0
252252,0
151678,0
135768,0
196240,0
9938,0
235750,0
37176,0
270256,0
67717,0
150974,0
165894,0
103640,0
6912,0
164647,0
215320,0
34194,0
52853,0
4660,0
242272,0
118575,0
25288,0
204620,0
20453,0
220343,0
111633,0
242004,0
177389,0
110669,0
230619,0
137699,0
68938,0
52076,0
198412,0
160998,0
242179,0
103834,0
170215,0
10850,0
259474,0
232267,0
118350,0
116986,0
30489,0
265353,0
81342,0
49727,0
92595,0
212221,0
124179,0
19213,0
1328,0
21682,0
98100,0
202273,0
61205,0
152302,0
266213,0
160161,0
261569,0
48834,0
177293,0
147600,0
75721,0
1053,0
28150,0
217847,0
77681,0
134841,0
251476,0
11546,0
84378,0
258424,0
140890,0
135094,0
218302,0
20124,0
271576,0
29276,0
194350,0
147202,0
272724,0
191786,0
87658,0
238769,0
272758,0
11044,0
248866,0
275804,0
198423,0
158570,0
8417,0
62008,0
39112,0
28385,0
36586,0
177677,0
256302,0
263987,0
117053,0
1105,0
23637,0
219140,0
65840,0
108820,0
32385,0
68742,0
187952,0
31339,0
204521,0
58313,0
25705,0
116682,0
70335,0
2335,0
144166,0
109297,0
60726,0
131076,0
242659,0
210431,0
131259,0
37758,0
116078,0
185216,0
280719,0
240144,0
268563,0
109377,0
83773,0
82857,0
130213,0
130629,0
239963,0
67894,0
149604,0
8150,0
96776,0
142906,0
279441,0
163508,0
8627,0
250619,0
164140,0
183442,0
252527,0
221025,0
208765,0
156666,0
151646,0
50127,0
200478,0
180222,0
179256,0
128945,0
272545,0
61020,0
19453,0
126637,0
153595,0
248362,0
106687,0
20118,0
181850,0
154709,0
258654,0
228212,0
244704,0
91521,0
123202,0
270265,0
128172,0
217561,0
90423,0
167338,0
205984,0
46530,0
230048,0
187021,0
29512,0
157622,0
163538,0
264789,0
153015,0
90841,0
63200,0
159871,0
86111,0
280551,0
6750,0
134298,0
142345,0
167508,0
107996,0
9709,0
41234,0
204708,0
190796,0
41074,0
247653,0
95545,0
218448,0
30231,0
86006,0
109900,0
136079,0
102101,0
223779,0
22443,0
256597,0
78547,0
256643,0
113667,0
278252,0
265602,0
193482,0
57081,0
21464,0
31903,0
56404,0
147925,0
278025,0
99888,0
280512,0
135068,0
25492,0
279568,0
84097,0
196273,0
1174,0
157057,0
60939,0
26093,0
177781,0
20794,0
62264,0
229794,0
51277,0
215508,0
248456,0
182138,0
73707,0
261780,0
193071,0
14862,0
227791,0
86953,0
143866,0
118024,0
108713,0
156942,0
213910,0
264345,0
196365,0
257402,0
178676,0
24111,0
160042,0
67773,0
164686,0
119915,0
91830,0
130024,0
85462,0
54540,0
20113,0
89759,0
100012,0
239712,0
276605,0
273384,0
229384,0
275912,0
53071,0
57195,0
200589,0
32477,0
194918,0
131114,0
162576,0
113492,0
37703,0
159106,0
18517,0
199720,0
269501,0
212226,0
60512,0
282583,0
40056,0
174665,0
56458,0
144306,0
282274,0
97639,0
58211,0
93994,0
140321,0
24643,0
205616,0
267114,0
1197,0
227903,0
163621,0
274884,0
268078,0
14804,0
86193,0
107647,0
128998,0
231757,0
169569,0
128323,0
249056,0
84279,0
72835,0
119479,0
99960,0
186374,0
219206,0
96036,0
43284,0
68577,0
127670,0
193764,0
237455,0
271178,0
162416,0
192475,0
262502,0
252917,0
149785,0
77470,0
245386,0
7143,0
195115,0
118660,0
83355,0
81512,0
43901,0
51161,0
65797,0
28931,0
232379,0
264755,0
16198,0
199557,0
209382,0
162629,0
254610,0
115327,0
46288,0
283956,0
41332,0
199178,0
240419,0
125140,0
72653,0
112198,0
69582,0
164771,0
86312,0
246730,0
162314,0
190146,0
258988,0
205161,0
246642,0
249139,0
234121,0
171348,0
229251,0
83443,0
275678,0
267623,0
253842,0
188243,0
97774,0
166670,0
63697,0
254424,0
262127,0
229036,0
248525,0
271471,0
123705,0
233654,0
115514,0
38699,0
133487,0
44245,0
92908,0
242986,0
116123,0
198851,0
46528,0
136444,0
197914,0
65789,0
82516,0
94668,0
241403,0
264754,0
165932,0
30843,0
210594,0
195197,0
108920,0
148815,0
206596,0
62975,0
110941,0
169056,0
33643,0
171338,0
111907,0
147081,0
128897,0
203295,0
187507,0
96028,0
157491,0
156715,0
63370,0
25174,0
109424,0
21587,0
252923,0
63148,0
229576,0
217185,0
109085,0
278477,0
73116,0
96619,0
167228,0
198362,0
29618,0
15832,0
73264,0
138777,0
152178,0
117839,0
33265,0
5847,0
137306,0
231780,0
150808,0
102908,0
230970,0
98307,0
256242,0
142802,0
155875,0
42610,0
201408,0
110727,0
230140,0
209326,0
60647,0
64601,0
158700,0
236778,0
230777,0
101540,0
223718,0
29891,0
245125,0
169763,0
38505,0
216972,0
135933,0
1684,0
47870,0
250788,0
34606,0
149782,0
57416,0
278983,0
36438,0
64826,0
147284,0
211268,0
116485,0
79313,0
64331,0
242891,0
133106,0
41175,0
100739,0
273195,0
262773,0
194289,0
207281,0
137145,0
56055,0
166400,0
198189,0
263833,0
225639,0
135742,0
9502,0
93333,0
175639,0
231523,0
241995,0
184271,0
152878,0
53693,0
23822,0
262822,0
196190,0
184191,0
206134,0
227628,0
8901,0
222533,0
216262,0
153894,0
142433,0
229683,0
170111,0
234247,0
185337,0
108545,0
225632,0
20423,0
89514,0
12789,0
266243,0
175799,0
261351,0
23883,0
129032,0
127405,0
280401,0
116696,0
161626,0
19457,0
66020,0
108760,0
60984,0
214595,0
229184,0
4148,0
91003,0
228132,0
212945,0
321,0
44141,0
95437,0
163802,0
95750,0
267319,0
165225,0
205620,0
40970,0
43958,0
144874,0
11501,0
214542,0
57510,0
100401,0
114599,0
22194,0
8528,0
3057,0
112728,0
139790,0
177928,0
220294,0
91960,0
238837,0
275816,0
141634,0
210145,0
254659,0
71958,0
218266,0
38854,0
146294,0
47584,0
110487,0
41654,0
62481,0
230275,0
110291,0
264669,0
272588,0
90822,0
182884,0
213190,0
193310,0
131982,0
281130,0
147121,0
77841,0
248732,0
194148,0
113410,0
159123,0
18762,0
103430,0
140133,0
159602,0
209608,0
124054,0
17609,0
94466,0
183017,0
195815,0
173449,0
193436,0
31120,0
215051,0
124137,0
149442,0
14267,0
175107,0
31875,0
133208,0
133817,0
1045,0
25744,0
255930,0
144053,0
211375,0
32636,0
270763,0
175465,0
31738,0
215491,0
196291,0
151805,0
146482,0
51256,0
87012,0
52099,0
55416,0
54963,0
113888,0
235247,0
107356,0
242935,0
250914,0
134107,0
121894,0
52246,0
76632,0
178685,0
142316,0
154439,0
67823,0
104502,0
246735,0
129221,0
253863,0
177134,0
152892,0
176749,0
45153,0
237681,0
274700,0
89304,0
141886,0
261302,0
75084,0
237144,0
47109,0
16600,0
64150,0
129705,0
87706,0
212014,0
128038,0
165504,0
50731,0
248517,0
231636,0
146860,0
261639,0
245903,0
215802,0
250868,0
53427,0
173835,0
91398,0
106402,0
146555,0
14238,0
85362,0
16850,0
229582,0
27572,0
29584,0
265827,0
259952,0
28501,0
233037,0
153884,0
24436,0
182092,0
104430,0
224911,0
18552,0
222435,0
257990,0
1763,0
142735,0
160378,0
17029,0
224150,0
222769,0
67720,0
96084,0
33168,0
156751,0
23678,0
219948,0
96861,0
31776,0
159555,0
217373,0
164514,0
12308,0
119634,0
54000,0
282595,0
94443,0
7588,0
123191,0
38388,0
44970,0
251699,0
175242,0
189366,0
212962,0
63822,0
266829,0
237899,0
278114,0
9245,0
235007,0
45519,0
170409,0
209336,0
240861,0
208993,0
187679,0
47310,0
238961,0
136938,0
132142,0
128024,0
185044,0
65852,0
270412,0
157191,0
46491,0
163039,0
116937,0
173068,0
239547,0
257393,0
81414,0
283030,0
113160,0
223103,0
167778,0
242784,0
236276,0
190363,0
97751,0
103582,0
52875,0
14237,0
219327,0
96235,0
182416,0
144361,0
245205,0
34856,0
72200,0
139468,0
252629,0
101965,0
101847,0
273903,0
182095,0
58681,0
94504,0
112703,0
239957,0
37046,0
159667,0
191481,0
242059,0
282196,0
68561,0
135815,0
51009,0
277863,0
16543,0
88,0
90908,0
29823,0
162236,0
189336,0
248114,0
174163,0
226031,0
72308,0
209517,0
219914,0
73803,0
86567,0
1850,0
239996,0
113821,0
183459,0
123437,0
202844,0
160920,0
185367,0
132564,0
190842,0
67289,0
169572,0
187222,0
131223,0
113997,0
167821,0
20225,0
273668,0
137680,0
267854,0
105189,0
94207,0
153665,0
121739,0
46097,0
249090,0
121496,0
265260,0
149634,0
15638,0
59889,0
115947,0
224857,0
24302,0
135499,0
221256,0
90181,0
238493,0
18889,0
39776,0
35403,0
99062,0
108186,0
172363,0
128606,0
166448,0
222673,0
203511,0
239294,0
107875,0
143969,0
139725,0
221192,0
15239,0
147826,0
144219,0
155379,0
141228,0
100454,0
151866,0
83294,0
214547,0
38400,0
82976,0
203767,0
55731,0
241102,0
167950,0
244431,0
143247,0
92717,0
267789,0
227291,0
47353,0
13622,0
238527,0
107825,0
38489,0
281048,0
132995,0
118543,0
225590,0
74750,0
53938,0
92582,0
149563,0
280078,0
220825,0
132435,0
20660,0
144565,0
267748,0
126087,0
72722,0
203648,0
517,0
49251,0
36963,0
181686,0
40572,0
166659,0
241568,0
199532,0
111945,0
253596,0
178129,0
13215,0
68513,0
113839,0
16030,0
17828,0
242151,0
136381,0
165310,0
276596,0
142902,0
153172,0
26278,0
177053,0
105990,0
253171,0
211852,0
12944,0
209022,0
275437,0
50452,0
28727,0
107094,0
196499,0
27332,0
267007,0
37253,0
23470,0
118669,0
105594,0
76423,0
174040,0
137669,0
208966,0
274929,0
5630,0
112727,0
277435,0
189627,0
168635,0
164002,0
148780,0
193521,0
98932,0
217586,0
109842,0
137037,0
40066,0
143835,0
179110,0
68815,0
19953,0
259142,0
18518,0
190878,0
163606,0
255309,0
119725,0
83520,0
2852,0
204154,0
254794,0
12407,0
242942,0
236058,0
21725,0
17995,0
215722,0
281207,0
204811,0
274338,0
145137,0
280990,0
150069,0
227228,0
280988,0
214411,0
106828,0
216142,0
199236,0
276110,0
54787,0
98887,0
58909,0
218788,0
183780,0
99717,0
241032,0
77876,0
109566,0
239866,0
263483,0
125531,0
111089,0
39773,0
271513,0
278973,0
3412,0
166031,0
158756,0
115852,0
239278,0
54587,0
141173,0
246603,0
90036,0
54662,0
14366,0
224995,0
122773,0
35201,0
281464,0
266154,0
63439,0
112274,0
45025,0
105608,0
158307,0
206041,0
102901,0
96379,0
260502,0
203399,0
180711,0
129591,0
133444,0
76103,0
127651,0
191316,0
205684,0
145253,0
205995,0
147225,0
875,0
233680,0
203870,0
209212,0
43522,0
140693,0
139251,0
246423,0
104105,0
8270,0
277769,0
210041,0
154476,0
165406,0
169362,0
100987,0
88573,0
120065,0
118677,0
267588,0
160936,0
72443,0
238944,0
221733,0
257498,0
212450,0
254545,0
79732,0
1192,0
250529,0
127010,0
224662,0
272405,0
173052,0
109544,0
210966,0
113070,0
233474,0
192145,0
35808,0
94212,0
94094,0
6731,0
91095,0
225302,0
113297,0
55446,0
262197,0
127945,0
58835,0
20173,0
59618,0
159490,0
260331,0
185106,0
28780,0
172823,0
180712,0
142818,0
224355,0
194741,0
284693,0
8940,0
82831,0
238467,0
82065,0
211895,0
111868,0
45760,0
136927,0
165734,0
125583,0
205398,0
209195,0
242185,0
58699,0
145376,0
279154,0
138329,0
217545,0
204859,0
106916,0
207942,0
179662,0
161083,0
115291,0
2432,0
46217,0
126715,0
140646,0
13955,0
241958,0
207929,0
106144,0
279150,0
13847,0
279910,0
168946,0
30009,0
209623,0
22049,0
213002,0
194639,0
69152,0
112864,0
21733,0
69988,0
52249,0
174534,0
191620,0
17333,0
156154,0
33098,0
163302,0
232269,0
209901,0
119349,0
111682,0
284369,0
213980,0
222293,0
124270,0
180212,0
216843,0
192204,0
123932,0
152183,0
255176,0
276487,0
43165,0
233221,0
270449,0
166037,0
28581,0
171887,0
206481,0
37303,0
205114,0
43249,0
67252,0
120402,0
237000,0
243530,0
195795,0
250524,0
55685,0
246110,0
108883,0
69469,0
49181,0
238305,0
148003,0
16316,0
67373,0
49097,0
221908,0
226008,0
136001,0
104607,0
120610,0
58649,0
5001,0
88173,0
250555,0
45661,0
218103,0
253573,0
122592,0
48319,0
102564,0
275758,0
97365,0
136962,0
142274,0
150850,0
144278,0
17012,0
60782,0
221164,0
271467,0
275264,0
199461,0
175244,0
111512,0
283159,0
211534,0
147444,0
251517,0
64386,0
169803,0
157848,0
163451,0
156691,0
206294,0
227141,0
252453,0
90501,0
19010,0
24905,0
142529,0
237792,0
7138,0
110178,0
118082,0
145677,0
49660,0
31985,0
74561,0
173486,0
281995,0
267314,0
66254,0
105793,0
92505,0
174755,0
43894,0
284348,0
166243,0
134397,0
60827,0
75814,0
12819,0
219501,0
189661,0
123908,0
6098,0
147375,0
145988,0
280209,0
121344,0
208863,0
28524,0
279989,0
104300,0
168086,0
141232,0
252518,0
112185,0
97182,0
106302,0
130474,0
131772,0
212155,0
94632,0
23443,0
174211,0
41807,0
138255,0
106969,0
148539,0
167923,0
157600,0
268194,0
253871,0
36508,0
5324,0
280046,0
119482,0
77778,0
105496,0
262369,0
11906,0
142516,0
273527,0
227816,0
64350,0
270199,0
17312,0
249728,0
194835,0
154112,0
168215,0
57947,0
231402,0
271066,0
70867,0
128911,0
37790,0
139141,0
154303,0
95670,0
22232,0
163145,0
146946,0
49323,0
76466,0
106783,0
162918,0
104500,0
215411,0
124823,0
20068,0
84889,0
210964,0
38558,0
224238,0
39852,0
194203,0
50404,0
113147,0
74133,0
61709,0
253984,0
191754,0
248740,0
147809,0
141528,0
124256,0
227578,0
142283,0
217574,0
49306,0
61633,0
43114,0
225878,0
42765,0
256744,0
60652,0
117167,0
44388,0
210401,0
154744,0
284024,0
255358,0
115226,0
78919,0
84828,0
197729,0
29226,0
238438,0
116901,0
92164,0
47667,0
47969,0
108877,0
33092,0
83785,0
130018,0
116612,0
240426,0
112080,0
204526,0
6869,0
199649,0
43500,0
39604,0
166522,0
15820,0
30520,0
205083,0
113058,0
236803,0
204833,0
26680,0
86595,0
211349,0
103741,0
103149,0
117947,0
105490,0
109497,0
150900,0
51787,0
94252,0
178324,0
195277,0
71226,0
143295,0
145450,0
57976,0
56129,0
36931,0
245978,0
219981,0
146374,0
76241,0
258377,0
225433,0
226186,0
247125,0
158971,0
131389,0
15839,0
135131,0
72793,0
177220,0
223840,0
72806,0
131570,0
162718,0
150020,0
26100,0
72798,0
391,0
123820,0
10416,0
267739,0
120438,0
170399,0
113090,0
18258,0
59504,0
140230,0
66791,0
153531,0
227355,0
256483,0
253137,0
24470,0
124849,0
158724,0
27075,0
56537,0
219040,0
188293,0
49185,0
282476,0
46471,0
230084,0
28904,0
98481,0
44795,0
107976,0
102124,0
134858,0
13235,0
143700,0
83152,0
152281,0
150613,0
275272,0
172890,0
48195,0
232252,0
221200,0
2862,0
146330,0
16646,0
45847,0
102108,0
27199,0
279209,0
237817,0
54248,0
234201,0
147813,0
52145,0
103879,0
147575,0
37940,0
51263,0
93742,0
93804,0
80649,0
265916,0
274458,0
266684,0
189960,0
22516,0
160629,0
46141,0
280075,0
79160,0
25010,0
237693,0
25817,0
72524,0
114429,0
118823,0
142517,0
204691,0
27832,0
83586,0
3870,0
101646,0
56956,0
105631,0
149070,0
17074,0
13867,0
123150,0
213811,0
230647,0
115257,0
251598,0
212387,0
35197,0
278183,0
112075,0
18389,0
7429,0
99498,0
209906,0
217783,0
39695,0
266802,0
43546,0
233005,0
189985,0
163059,0
93645,0
245020,0
259105,0
163904,0
98942,0
256995,0
123957,0
243017,0
1941,0
238448,0
224822,0
67864,0
251207,0
117025,0
39359,0
115387,0
205203,0
20772,0
61647,0
116065,0
254978,0
250653,0
133716,0
182619,0
117683,0
103701,0
157818,0
117858,0
100237,0
171378,0
273084,0
42951,0
94415,0
128524,0
204909,0
63384,0
83563,0
72580,0
118224,0
247361,0
157713,0
53450,0
122705,0
4182,0
274867,0
266747,0
95189,0
91595,0
209618,0
42276,0
162090,0
212487,0
224067,0
10225,0
266604,0
63620,0
43282,0
20218,0
46479,0
171328,0
234067,0
148326,0
73172,0
178927,0
117187,0
112806,0
152444,0
276253,0
204577,0
243053,0
264232,0
144536,0
180027,0
279945,0
31708,0
216782,0
136515,0
111300,0
79847,0
94603,0
35293,0
176349,0
194958,0
203992,0
182076,0
31909,0
146589,0
32262,0
277221,0
103124,0
149289,0
115312,0
171798,0
233960,0
11359,0
145802,0
206300,0
279090,0
25377,0
255534,0
75346,0
39168,0
63538,0
133948,0
188438,0
186012,0
69567,0
30861,0
183331,0
173077,0
199004,0
180117,0
132504,0
88227,0
133680,0
20322,0
148089,0
155836,0
78998,0
225852,0
218842,0
114246,0
121678,0
157521,0
93363,0
178585,0
19141,0
243289,0
164558,0
245664,0
135106,0
57257,0
215770,0
27471,0
37898,0
22984,0
189962,0
85972,0
178763,0
210529,0
165796,0
195162,0
225067,0
30109,0
138189,0
8171,0
118009,0
54271,0
176139,0
9330,0
6375,0
37520,0
219775,0
78935,0
72298,0
141456,0
268125,0
23791,0
125552,0
10940,0
110779,0
48269,0
57424,0
238568,0
206610,0
203364,0
279261,0
84341,0
156780,0
166873,0
147224,0
107581,0
124133,0
205701,0
45482,0
70537,0
204299,0
168725,0
135630,0
177920,0
129795,0
65076,0
35140,0
254753,0
135641,0
86144,0
25496,0
107706,0
40237,0
135401,0
270071,0
62003,0
244179,0
195395,0
195381,0
256955,0
149643,0
275888,0
228484,0
157519,0
238436,0
41972,0
29762,0
127178,0
271361,0
45905,0
231246,0
95746,0
65426,0
13520,0
107653,0
23474,0
13890,0
187134,0
74122,0
36263,0
224088,0
48535,0
205892,0
21980,0
44697,0
22387,0
131142,0
128414,0
104841,0
238287,0
221345,0
240092,0
233126,0
134320,0
217255,0
165165,0
141843,0
195772,0
102117,0
178945,0
84587,0
276900,0
18590,0
204695,0
170060,0
172332,0
72176,0
161046,0
